[14:21:28] [main/INFO]: ModLauncher running: args [--username, JustArend, --version, forge-47.3.0, --gameDir, C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0, --assetsDir, C:\Users\Arend\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, bb99cf8c16fa45c3bab5f6031f089828, --accessToken, ????????, --clientId, NzE1YTE1MjUtZjFlZC00ZDc5LWJiMjQtMzYzZWQ5NWNjYjc5, --xuid, 2535428986502103, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Arend\curseforge\minecraft\Install\quickPlay\java\1721913686378.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:21:28] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:21:29] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:21:29] [main/INFO]: Trying GL version 4.6
[14:21:29] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:21:29] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Arend/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[14:21:29] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070/PCIe/SSE2 GL version 4.6.0 NVIDIA 555.85, NVIDIA Corporation
[14:21:29] [main/INFO]: Found mod file aeroblender-1.20.1-1.0.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file aether-1.20.1-1.4.2-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file aether-redux-2.0.17-1.20.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file alexscaves-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file alexsmobs-1.22.8.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file alltheores-1.20.1-47.1.3-2.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
[14:21:29] [main/INFO]: Found mod file AmbientEnvironment-forge-1.20.1-11.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Arend\curseforge\minecraft\Instances\Dank-Dreams 1.0\mods}
